7  1029 90.44
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 811  -3066  1030 90.53
21:01:03.987 -> 810  -3067  1029 90.44
21:01:03.987 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 810  -3067  1029 90.44
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 811  -3066  1030 90.53
21:01:04.020 -> 810  -3067  1029 90.44
21:01:04.020 -> 810  -3067  1029 90.44
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 810  -3067  1029 90.44
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.054 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.087 -> 811  -3066  1030 90.53
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.121 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
